collection,slug,url,category,suggestedRisk,declaredYmylRisk,returnsDoseOrTreatment,personalizedRecommendation,hasProfessionalReviewer,currentlyIndexable,currentlyRestricted,matchedTerms,reasons,recommendedAction
calcs,calculadora-agua-cafe-te-hidratacion-real-mitos,/calculadora-agua-cafe-te-hidratacion-real-mitos,salud,medium,low,false,false,false,true,false,"dosis; sintomas; enfermedad","Dosis/medicación: dosis; Señales clínicas: sintomas, enfermedad; Sólo mención en el cuerpo (posible falso positivo)","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-agua-consumo-hogar-ahorro,/calculadora-agua-consumo-hogar-ahorro,medio-ambiente,medium,low,false,false,false,true,false,tratamiento,"Tratamiento/retorno deportivo: tratamiento; Fuera de contexto de salud (categoría ""medio-ambiente"") — probable falso positivo","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-agua-diaria-necesaria,/calculadora-agua-diaria-necesaria,vida,medium,low,false,false,false,true,false,sintomas,"Señales clínicas: sintomas; Fuera de contexto de salud (categoría ""vida"") — probable falso positivo","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-agua-riego-plantas-dia,/calculadora-agua-riego-plantas-dia,jardineria,medium,low,false,false,false,true,false,gotas,"Dosis/medicación: gotas; Fuera de contexto de salud (categoría ""jardineria"") — probable falso positivo","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-aguinaldo-empleada-casa-particular-medio-tiempo-categoria,/calculadora-aguinaldo-empleada-casa-particular-medio-tiempo-categoria,finanzas,medium,low,false,false,false,true,false,"tratamiento; enfermedad","Tratamiento/retorno deportivo: tratamiento; Señales clínicas: enfermedad; Fuera de contexto de salud (categoría ""finanzas"") — probable falso positivo","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs-cl,calculadora-aguinaldo-fiestas-patrias-Navidad-chile-2026,/cl/calculadora-aguinaldo-fiestas-patrias-Navidad-chile-2026,laboral,medium,low,false,false,false,true,false,tratamiento,"Tratamiento/retorno deportivo: tratamiento; Fuera de contexto de salud (categoría ""laboral"") — probable falso positivo","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-ahorro-bicicleta-vs-auto-mensual,/calculadora-ahorro-bicicleta-vs-auto-mensual,vida,medium,low,false,false,false,true,false,suplemento,Sólo mención en el cuerpo (posible falso positivo),"REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-ahorro-dejar-cigarrillos,/calculadora-ahorro-dejar-cigarrillos,vida,medium,low,false,false,false,true,false,enfermedad,"Señales clínicas: enfermedad; Fuera de contexto de salud (categoría ""vida"") — probable falso positivo","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-alambre-cerco-perimetral-metros,/calculadora-alambre-cerco-perimetral-metros,construccion,medium,low,false,false,false,true,false,tratamiento,"Tratamiento/retorno deportivo: tratamiento; Fuera de contexto de salud (categoría ""construccion"") — probable falso positivo","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-alcohol-attenuation-levadura,/calculadora-alcohol-attenuation-levadura,cocina,medium,low,false,false,false,true,false,diagnostico,"Tratamiento/retorno deportivo: diagnostico; Fuera de contexto de salud (categoría ""cocina"") — probable falso positivo","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-alcohol-sangre-bac,/calculadora-alcohol-sangre-bac,salud,medium,low,false,false,false,true,false,"dosis; sintomas","Dosis/medicación: dosis; Señales clínicas: sintomas; Sólo mención en el cuerpo (posible falso positivo)","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-alimento-acuario-por-pez,/calculadora-alimento-acuario-por-pez,mascotas,medium,low,false,false,false,true,false,dosis,"Dosis/medicación: dosis; Dosis/medicación veterinaria (categoría mascotas); Sólo mención en el cuerpo (posible falso positivo)","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-alquiler-temporal-vs-tradicional-rendimiento-neto,/calculadora-alquiler-temporal-vs-tradicional-rendimiento-neto,vida,medium,low,false,false,false,true,false,tratamiento,"Tratamiento/retorno deportivo: tratamiento; Fuera de contexto de salud (categoría ""vida"") — probable falso positivo","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-anos-fluidez-idioma,/calculadora-anos-fluidez-idioma,educacion,medium,low,false,false,false,true,false,diagnostico,"Tratamiento/retorno deportivo: diagnostico; Fuera de contexto de salud (categoría ""educacion"") — probable falso positivo","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs-ec,calculadora-anticipo-impuesto-renta-ecuador,/ec/calculadora-anticipo-impuesto-renta-ecuador,impuestos,medium,low,false,false,false,true,false,tratamiento,"Tratamiento/retorno deportivo: tratamiento; Fuera de contexto de salud (categoría ""impuestos"") — probable falso positivo","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-antiguedad-laboral,/calculadora-antiguedad-laboral,vida,medium,low,false,false,false,true,false,enfermedad,"Señales clínicas: enfermedad; Fuera de contexto de salud (categoría ""vida"") — probable falso positivo","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs-co,calculadora-aporte-cesantias-empleador-empleado-colombia-fondo,/co/calculadora-aporte-cesantias-empleador-empleado-colombia-fondo,impuestos,medium,low,false,false,false,true,false,enfermedad,"Señales clínicas: enfermedad; Fuera de contexto de salud (categoría ""impuestos"") — probable falso positivo","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs-cl,calculadora-aporte-mutual-empresa-chile-trabajador-tasa-base,/cl/calculadora-aporte-mutual-empresa-chile-trabajador-tasa-base,impuestos,medium,low,false,false,false,true,false,"rehabilitacion; enfermedad","Tratamiento/retorno deportivo: rehabilitacion; Señales clínicas: enfermedad; Fuera de contexto de salud (categoría ""impuestos"") — probable falso positivo","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs-cl,calculadora-aporte-mutual-empresa-comparar-ist-asociacion-chilena,/cl/calculadora-aporte-mutual-empresa-comparar-ist-asociacion-chilena,negocios,medium,low,false,false,false,true,false,rehabilitacion,"Tratamiento/retorno deportivo: rehabilitacion; Fuera de contexto de salud (categoría ""negocios"") — probable falso positivo","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-aportes-patronales-empleado-registrado-cargas-sociales-2026,/calculadora-aportes-patronales-empleado-registrado-cargas-sociales-2026,finanzas,medium,low,false,false,false,true,false,tratamiento,"Tratamiento/retorno deportivo: tratamiento; Fuera de contexto de salud (categoría ""finanzas"") — probable falso positivo","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-arba-sellos-inmobiliarios-pba-compraventa,/calculadora-arba-sellos-inmobiliarios-pba-compraventa,impuestos,medium,low,false,false,false,true,false,tratamiento,"Tratamiento/retorno deportivo: tratamiento; Fuera de contexto de salud (categoría ""impuestos"") — probable falso positivo","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-arena-grava-hormigon,/calculadora-arena-grava-hormigon,construccion,medium,low,false,false,false,true,false,"dosis; dosificacion","Dosis/medicación: dosis, dosificacion; Fuera de contexto de salud (categoría ""construccion"") — probable falso positivo","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-art-indemnizacion-tabla-incapacidad-laboral-permanente,/calculadora-art-indemnizacion-tabla-incapacidad-laboral-permanente,finanzas,medium,low,false,false,false,true,false,"tratamiento; enfermedad; lesion","Tratamiento/retorno deportivo: tratamiento; Señales clínicas: enfermedad, lesion; Fuera de contexto de salud (categoría ""finanzas"") — probable falso positivo","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-art-prestacion-dineraria-ilt-dias-pago-incapacidad-temporaria,/calculadora-art-prestacion-dineraria-ilt-dias-pago-incapacidad-temporaria,finanzas,medium,low,false,false,false,true,false,"tratamiento; enfermedad; lesion","Tratamiento/retorno deportivo: tratamiento; Señales clínicas: enfermedad, lesion; Fuera de contexto de salud (categoría ""finanzas"") — probable falso positivo","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-asignacion-discapacidad-pensionado,/calculadora-asignacion-discapacidad-pensionado,finanzas,medium,low,false,false,false,true,false,rehabilitacion,"Tratamiento/retorno deportivo: rehabilitacion; Fuera de contexto de salud (categoría ""finanzas"") — probable falso positivo","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs-cl,calculadora-asignacion-zona-extrema-chile-aysen-magallanes-arica,/cl/calculadora-asignacion-zona-extrema-chile-aysen-magallanes-arica,finanzas,medium,low,false,false,false,true,false,tratamiento,"Tratamiento/retorno deportivo: tratamiento; Fuera de contexto de salud (categoría ""finanzas"") — probable falso positivo","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-aumento-altura-adolescente-prediccion,/calculadora-aumento-altura-adolescente-prediccion,familia,medium,low,false,false,false,true,false,diagnostico,"Tratamiento/retorno deportivo: diagnostico; Sólo mención en el cuerpo (posible falso positivo)","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs-es,calculadora-autonomo-cuota-2026-espana-rendimiento-neto,/es/calculadora-autonomo-cuota-2026-espana-rendimiento-neto,impuestos,medium,low,false,false,false,true,false,enfermedad,"Señales clínicas: enfermedad; Fuera de contexto de salud (categoría ""impuestos"") — probable falso positivo","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-autonomos-categoria-monto-2026,/calculadora-autonomos-categoria-monto-2026,impuestos,medium,low,false,false,false,true,false,tratamiento,"Tratamiento/retorno deportivo: tratamiento; Fuera de contexto de salud (categoría ""impuestos"") — probable falso positivo","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-ayuda-escolar-anual-asignacion,/calculadora-ayuda-escolar-anual-asignacion,finanzas,medium,low,false,false,false,true,false,tratamiento,"Tratamiento/retorno deportivo: tratamiento; Fuera de contexto de salud (categoría ""finanzas"") — probable falso positivo","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-ayuno-intermitente-16-8-ventana-horario,/calculadora-ayuno-intermitente-16-8-ventana-horario,cocina,medium,low,false,false,false,true,false,"insulina; medicacion","Dosis/medicación: insulina; Sólo mención en el cuerpo (posible falso positivo)","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-ayuno-intermitente-beneficios-calorias-20-4,/calculadora-ayuno-intermitente-beneficios-calorias-20-4,salud,medium,low,false,false,false,true,false,"insulina; medicacion; magnesio; sintomas","Dosis/medicación: insulina; Señales clínicas: sintomas; Sólo mención en el cuerpo (posible falso positivo)","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs-es,calculadora-baja-laboral-incapacidad-temporal-espana-cuantia,/es/calculadora-baja-laboral-incapacidad-temporal-espana-cuantia,finanzas,medium,low,false,false,false,true,false,enfermedad,"Señales clínicas: enfermedad; Fuera de contexto de salud (categoría ""finanzas"") — probable falso positivo","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs-es,calculadora-becas-mec-2026-espana-renta-familiar-rendimiento,/es/calculadora-becas-mec-2026-espana-renta-familiar-rendimiento,educacion,medium,low,false,false,false,true,false,diagnostico,"Tratamiento/retorno deportivo: diagnostico; Fuera de contexto de salud (categoría ""educacion"") — probable falso positivo","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-bienes-personales-tramos-alicuota-2026,/calculadora-bienes-personales-tramos-alicuota-2026,impuestos,medium,low,false,false,false,true,false,tratamiento,"Tratamiento/retorno deportivo: tratamiento; Fuera de contexto de salud (categoría ""impuestos"") — probable falso positivo","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-bitcoin-halving-2028-proyeccion,/calculadora-bitcoin-halving-2028-proyeccion,finanzas,medium,low,false,false,false,true,false,tratamiento,"Tratamiento/retorno deportivo: tratamiento; Fuera de contexto de salud (categoría ""finanzas"") — probable falso positivo","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-bloques-hormigon-por-m2-pared,/calculadora-bloques-hormigon-por-m2-pared,construccion,medium,low,false,false,false,true,false,dosificacion,"Dosis/medicación: dosificacion; Fuera de contexto de salud (categoría ""construccion"") — probable falso positivo","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs-es,calculadora-bomba-calor-aerotermia-espana-coste-instalacion,/es/calculadora-bomba-calor-aerotermia-espana-coste-instalacion,vida,medium,low,false,false,false,true,false,rehabilitacion,"Tratamiento/retorno deportivo: rehabilitacion; Fuera de contexto de salud (categoría ""vida"") — probable falso positivo","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs-do,calculadora-bonificacion-republica-dominicana,/do/calculadora-bonificacion-republica-dominicana,finanzas,medium,low,false,false,false,true,false,tratamiento,"Tratamiento/retorno deportivo: tratamiento; Fuera de contexto de salud (categoría ""finanzas"") — probable falso positivo","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-bonos-globales-al30-gd30-rendimiento,/calculadora-bonos-globales-al30-gd30-rendimiento,finanzas,medium,low,false,false,false,true,false,tratamiento,"Tratamiento/retorno deportivo: tratamiento; Fuera de contexto de salud (categoría ""finanzas"") — probable falso positivo","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-cac-costo-adquisicion-sales-funnel,/calculadora-cac-costo-adquisicion-sales-funnel,negocios,medium,low,false,false,false,true,false,diagnostico,"Tratamiento/retorno deportivo: diagnostico; Fuera de contexto de salud (categoría ""negocios"") — probable falso positivo","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-cac-ltv-costo-adquisicion-cliente,/calculadora-cac-ltv-costo-adquisicion-cliente,marketing,medium,low,false,false,false,true,false,diagnostico,"Tratamiento/retorno deportivo: diagnostico; Fuera de contexto de salud (categoría ""marketing"") — probable falso positivo","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-cafe-molido-taza-metodo-preparacion,/calculadora-cafe-molido-taza-metodo-preparacion,cocina,medium,low,false,false,false,true,false,dosis,"Dosis/medicación: dosis; Fuera de contexto de salud (categoría ""cocina"") — probable falso positivo","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-cagr-rendimiento-anualizado-compuesto,/calculadora-cagr-rendimiento-anualizado-compuesto,finanzas,medium,low,false,false,false,true,false,tratamiento,"Tratamiento/retorno deportivo: tratamiento; Fuera de contexto de salud (categoría ""finanzas"") — probable falso positivo","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-caja-seguridad-banco-comparativa-mensual,/calculadora-caja-seguridad-banco-comparativa-mensual,finanzas,medium,low,false,false,false,true,false,tratamiento,"Tratamiento/retorno deportivo: tratamiento; Fuera de contexto de salud (categoría ""finanzas"") — probable falso positivo","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-calefon-termotanque-litros-personas,/calculadora-calefon-termotanque-litros-personas,construccion,medium,low,false,false,false,true,false,magnesio,Sólo mención en el cuerpo (posible falso positivo),"REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-calendario-ecografias-embarazo-semanas,/calculadora-calendario-ecografias-embarazo-semanas,familia,medium,low,false,false,false,true,false,diagnostico,"Tratamiento/retorno deportivo: diagnostico; Sólo mención en el cuerpo (posible falso positivo)","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-calidad-sueno-pittsburgh,/calculadora-calidad-sueno-pittsburgh,vida,medium,low,false,false,false,true,false,medicacion,Sólo mención en el cuerpo (posible falso positivo),"REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-calorias-arroz-blanco-integral-cocido,/calculadora-calorias-arroz-blanco-integral-cocido,salud,medium,low,false,false,false,true,false,insulina,"Dosis/medicación: insulina; Sólo mención en el cuerpo (posible falso positivo)","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-calorias-caminando,/calculadora-calorias-caminando,salud,medium,low,false,false,false,true,false,insulina,"Dosis/medicación: insulina; Sólo mención en el cuerpo (posible falso positivo)","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-calorias-diarias-tdee,/calculadora-calorias-diarias-tdee,salud,medium,low,false,false,false,true,false,"enfermedad; lesion","Señales clínicas: enfermedad, lesion; Sólo mención en el cuerpo (posible falso positivo)","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-calorias-futbol-5-7-11,/calculadora-calorias-futbol-5-7-11,deportes,medium,low,false,false,false,true,false,"magnesio; lesion","Señales clínicas: lesion; Sólo mención en el cuerpo (posible falso positivo)","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-calorias-gym-pesas-hora,/calculadora-calorias-gym-pesas-hora,deportes,medium,low,false,false,false,true,false,"suplemento; rehabilitacion","Tratamiento/retorno deportivo: rehabilitacion; Sólo mención en el cuerpo (posible falso positivo)","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-calorias-palta-aguacate-completa-mitad,/calculadora-calorias-palta-aguacate-completa-mitad,salud,medium,low,false,false,false,true,false,tratamiento,"Tratamiento/retorno deportivo: tratamiento; Sólo mención en el cuerpo (posible falso positivo)","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-calorias-pan-blanco-integral-porcion,/calculadora-calorias-pan-blanco-integral-porcion,salud,medium,low,false,false,false,true,false,"insulina; medicacion; magnesio; tratamiento; diagnostico; enfermedad","Dosis/medicación: insulina; Tratamiento/retorno deportivo: tratamiento, diagnostico; Señales clínicas: enfermedad; Sólo mención en el cuerpo (posible falso positivo)","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-calorias-quemadas-mediocampista-partido,/calculadora-calorias-quemadas-mediocampista-partido,deportes,medium,low,false,false,false,true,false,"ml/kg; lesion","Dosis/medicación: ml/kg; Señales clínicas: lesion; Sólo mención en el cuerpo (posible falso positivo)","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-calorias-quemadas-running-km-peso,/calculadora-calorias-quemadas-running-km-peso,salud,medium,low,false,false,false,true,false,"insulina; rehabilitacion","Dosis/medicación: insulina; Tratamiento/retorno deportivo: rehabilitacion; Sólo mención en el cuerpo (posible falso positivo)","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-calorias-quemadas-tareas-domesticas,/calculadora-calorias-quemadas-tareas-domesticas,salud,medium,low,false,false,false,true,false,lesion,"Señales clínicas: lesion; Sólo mención en el cuerpo (posible falso positivo)","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-calorias-remo-indoor-ergometro,/calculadora-calorias-remo-indoor-ergometro,deportes,medium,low,false,false,false,true,false,rehabilitacion,"Tratamiento/retorno deportivo: rehabilitacion; Sólo mención en el cuerpo (posible falso positivo)","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-canasta-basica-hogar-inec-gasto-mensual,/calculadora-canasta-basica-hogar-inec-gasto-mensual,familia,medium,low,false,false,false,true,false,enfermedad,"Señales clínicas: enfermedad; Sólo mención en el cuerpo (posible falso positivo)","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs-cl,calculadora-canasta-mascota-perro-gato-chile-mensual,/cl/calculadora-canasta-mascota-perro-gato-chile-mensual,vida,medium,low,false,false,false,true,false,"dosis; antipulgas","Dosis/medicación: dosis, antipulgas; Sólo mención en el cuerpo (posible falso positivo)","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-cano-agua-diametro-caudal,/calculadora-cano-agua-diametro-caudal,construccion,medium,low,false,false,false,true,false,diagnostico,"Tratamiento/retorno deportivo: diagnostico; Fuera de contexto de salud (categoría ""construccion"") — probable falso positivo","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-captacion-agua-lluvia-m2-techo-litros,/calculadora-captacion-agua-lluvia-m2-techo-litros,hogar,medium,low,false,false,false,true,false,tratamiento,"Tratamiento/retorno deportivo: tratamiento; Fuera de contexto de salud (categoría ""hogar"") — probable falso positivo","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-cca-bateria-auto-temperatura-motor,/calculadora-cca-bateria-auto-temperatura-motor,automotor,medium,low,false,false,false,true,false,sintomas,"Señales clínicas: sintomas; Fuera de contexto de salud (categoría ""automotor"") — probable falso positivo","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-cedear-dividend-yield-2026,/calculadora-cedear-dividend-yield-2026,finanzas,medium,low,false,false,false,true,false,tratamiento,"Tratamiento/retorno deportivo: tratamiento; Fuera de contexto de salud (categoría ""finanzas"") — probable falso positivo","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-cemento-arena-piedra-por-m3-hormigon,/calculadora-cemento-arena-piedra-por-m3-hormigon,construccion,medium,low,false,false,false,true,false,"dosis; dosificacion","Dosis/medicación: dosis, dosificacion; Fuera de contexto de salud (categoría ""construccion"") — probable falso positivo","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-cerramiento-perimetro-casa-ladrillos-costo,/calculadora-cerramiento-perimetro-casa-ladrillos-costo,construccion,medium,low,false,false,false,true,false,dosificacion,"Dosis/medicación: dosificacion; Fuera de contexto de salud (categoría ""construccion"") — probable falso positivo","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs-co,calculadora-cesantias-colombia-12-porciento-anual,/co/calculadora-cesantias-colombia-12-porciento-anual,finanzas,medium,low,false,false,false,true,false,tratamiento,"Tratamiento/retorno deportivo: tratamiento; Fuera de contexto de salud (categoría ""finanzas"") — probable falso positivo","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs-co,calculadora-cesantias-traslado-fondo-rendimiento-colombia,/co/calculadora-cesantias-traslado-fondo-rendimiento-colombia,finanzas,medium,low,false,false,false,true,false,tratamiento,"Tratamiento/retorno deportivo: tratamiento; Fuera de contexto de salud (categoría ""finanzas"") — probable falso positivo","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs-es,calculadora-cesta-compra-mensual-familia-espana-inflacion,/es/calculadora-cesta-compra-mensual-familia-espana-inflacion,vida,medium,low,false,false,false,true,false,enfermedad,"Señales clínicas: enfermedad; Fuera de contexto de salud (categoría ""vida"") — probable falso positivo","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-churn-retencion-clientes,/calculadora-churn-retencion-clientes,marketing,medium,low,false,false,false,true,false,diagnostico,"Tratamiento/retorno deportivo: diagnostico; Fuera de contexto de salud (categoría ""marketing"") — probable falso positivo","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-ciclo-menstrual,/calculadora-ciclo-menstrual,salud,medium,low,false,false,false,true,false,sintomas,"Señales clínicas: sintomas; Sólo mención en el cuerpo (posible falso positivo)","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-ciclo-sueno-rem-no-rem-90min,/calculadora-ciclo-sueno-rem-no-rem-90min,salud,medium,low,false,false,false,true,false,sintomas,"Señales clínicas: sintomas; Sólo mención en el cuerpo (posible falso positivo)","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-cintura-cadera-rcc,/calculadora-cintura-cadera-rcc,salud,medium,low,false,false,false,true,false,"insulina; enfermedad","Dosis/medicación: insulina; Señales clínicas: enfermedad; Sólo mención en el cuerpo (posible falso positivo)","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-color-cabello-tono-piel,/calculadora-color-cabello-tono-piel,salud,medium,low,false,false,false,true,false,diagnostico,"Tratamiento/retorno deportivo: diagnostico; Sólo mención en el cuerpo (posible falso positivo)","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-comida-cachorro-gramos-edad,/calculadora-comida-cachorro-gramos-edad,mascotas,medium,low,false,false,false,true,false,papilla,"Alimentación de bebés: papilla; Sólo mención en el cuerpo (posible falso positivo)","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-comparador-messi-vs-cristiano-goles-asistencias-titulos,/calculadora-comparador-messi-vs-cristiano-goles-asistencias-titulos,deportes,medium,low,false,false,false,true,false,lesion,"Señales clínicas: lesion; Sólo mención en el cuerpo (posible falso positivo)","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-comprension-lectora-score,/calculadora-comprension-lectora-score,educacion,medium,low,false,false,false,true,false,diagnostico,"Tratamiento/retorno deportivo: diagnostico; Fuera de contexto de salud (categoría ""educacion"") — probable falso positivo","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-configuracion-pc-bottleneck,/calculadora-configuracion-pc-bottleneck,entretenimiento,medium,low,false,false,false,true,false,diagnostico,"Tratamiento/retorno deportivo: diagnostico; Fuera de contexto de salud (categoría ""entretenimiento"") — probable falso positivo","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-consumo-combustible-km-litro,/calculadora-consumo-combustible-km-litro,automotor,medium,low,false,false,false,true,false,diagnostico,"Tratamiento/retorno deportivo: diagnostico; Fuera de contexto de salud (categoría ""automotor"") — probable falso positivo","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-contrapiso-m3,/calculadora-contrapiso-m3,construccion,medium,low,false,false,false,true,false,dosificacion,"Dosis/medicación: dosificacion; Fuera de contexto de salud (categoría ""construccion"") — probable falso positivo","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-conversion-colesterol-mg-mmol,/calculadora-conversion-colesterol-mg-mmol,salud,medium,low,false,false,false,true,false,"miligramos; medicacion; tratamiento; diagnostico; enfermedad","Dosis/medicación: miligramos; Tratamiento/retorno deportivo: tratamiento, diagnostico; Señales clínicas: enfermedad; Sólo mención en el cuerpo (posible falso positivo)","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
calcs,calculadora-conversion-cucharaditas-gramos-especias-sal,/calculadora-conversion-cucharaditas-gramos-especias-sal,cocina,medium,low,false,false,false,true,false,dosis,"Dosis/medicación: dosis; Fuera de contexto de salud (categoría ""cocina"") — probable falso positivo","REVISIÓN HUMANA: mención de término sensible en el cuerpo; probable falso positivo"
